date,project,operation,agents,agent_tokens,source,5h_windows
2026-07-03,poker (Who's the Boss),"Multi-agent HIGH audit on R6+R7.1 (45 findings confirmed, 11 refuted)",67,2638212,_processo/METRICHE.md
2026-07-03,poker (Who's the Boss),"Model/effort research for the method (dossier in experiments/)",5,688672,_processo/METRICHE.md
2026-07-03,progetto-15,"Multi-agent HIGH audit (12 confirmed, 1 refuted + Sonnet-vs-Opus shadow check)",21,1070000,project audit report
2026-07-17,SideKick,"English translation of the public facade (11 docs incl. CONSTITUTION v1.5)",1,118980,"observatory chat 2026-07-17"
2026-07-17,SideKick,"Spec Kit double-run study (Opus x2, identical prompt) + claim verification",2,292903,"ESPERIMENTI.md table 2"
2026-07-18,poker (Who's the Boss),"Multi-agent MEDIO audit on R7.4 delta-sync (5 confirmed [1 ALTA], 1 refuted)",10,1042131,"chat WTB/Base_8"
2026-07-20,Studio (ponte),"Ponte F1: auto-import in 2 app + 167 domande da weather_report (12 lotti, QC 3x Opus, ombra Haiku)",21,1548199,"chat Studio-Ponte/Design_1"
2026-07-20,Studio (ponte),"Fabbrica v2 MASSIMA: 447 elementi nuovi + retrofit 167 + runner SQL + QC totale 4x Opus + niente-per-scontato (25 buchi -> 22 fondamenta). NOTA OSSERVATORIO: run interrotto da fine-sessione con ~2h di buco A OROLOGIO ATTIVO (durata gonfiata); ripresa dalla cache: 30/34 agenti riusati gratis, token reali solo per i 4 mancanti",34,5751397,"chat Studio-Ponte/Design_1"
2026-07-21,Studio (StudioQuest),"Costruzione app unica sq/ sui 17 mockup (9 agenti: fondamenta+4 moduli+integrazione+2 QC Opus; +2 bug trovati dal collaudo E2E dell'orchestratore)",9,1800447,"chat Studio-Ponte/Design_1"
2026-07-21,Studio (StudioQuest),"Rifinitura 1: bug P0 + Costellazione + Home v2 + Allenamento/Esami/Pomodoro + Progressi v2. NOTA: interrotto 2 volte da Roberto (fine token); ripresa dalla cache con 6/8 agenti riusati gratis — token reali solo 427.713 dei 3 lanci",8,427713,"chat Studio-Ponte/Design_1"
2026-07-25,Studio (StudioQuest),"Fabbrica domande Python WR3: 555 domande/16 lotti (estrazione Haiku, 16 gen Sonnet, dedup, QC totale Opus 2 passate + ombra 8%, fix, verifica finale). INCIDENTE resume (root cause verificata dall'osservatorio 2026-07-25 sul journal): al 3o rilancio la cache non ha agganciato NESSUNA chiave (0/46) con 30/32 prompt QC identici byte-per-byte e journal COMPLETO — la diagnosi a caldo 'journal senza result' era sbagliata (chiavi di cache non content-addressed nel runtime) -> rifatti 46 agenti (30 Opus + 16 Sonnet), spreco ~0,59M vivi + ~39M cache; fermato a mano; chiusura con 3 agenti diretti. Token vivi da transcript: 1,17M+0,88M+0,65M; cache letta ~225M (voce dominante). Durata allungata dai 2 buchi-crediti (~2h e ~3h a orologio attivo), non il costo",229,10955107,"chat weather_report/Fabbrica_Domande_Python + transcript wf_62401bd0-f1e","~3 (Max 100 euro): 2 blocchi esauriti + un terzo parziale"
2026-07-25,SideKick,"Chiarezza+inglese del repo (3 fasi): 3 analisti Sonnet (occhi freschi, madrelingua, coerenza fatti; 26 finding) -> 5 esecutori Sonnet su file disgiunti (CONSTITUTION.md portato a v1.9, FACTORY-PROCESS.md creato, drop-in spec-kit 1.9.x coi principi XII-XVI, facciata, doc observatory) -> 2 revisori Opus a lenti diverse (8 finding, 5 veri: race di versione drop-in nel README tra agenti paralleli, 170x->187x, riga 5h_windows MANCANTE NEL MASTER poi aggiunta, Assistenza non tradotto, dashboard da rigenerare; 1 confutato: il generatore non ha il 170x hardcoded). Integrazione e commit dal regista",10,838112,"chat SideKick/Osservatorio_1 + transcript wf_a2acea15-23a",
2026-07-25,SideKick,"Copia italiana ITALIANO/: 5 traduttori Sonnet su blocchi disgiunti (14 doc, ~880 righe) + 1 verificatore (completezza, fedelta numeri, terminologia, link). 2 sviste incrociate sistemate dal regista: nota iniziale del README rimossa dal verificatore per zelo (contesto perso tra agenti) e link FINDINGS puntato all originale invece che alla copia",6,404930,"chat SideKick/Osservatorio_1 + transcript wf_7978359d-81d",
2026-07-25,SideKick,"Audit totale repo SOLO-REPORT (Roberto): 3 red team economici (recruiter/adottante/visitatore, 17 finding) -> 5 revisori sottosistema (30) -> dedup Haiku (29 unici) -> verifica adversariale ALTA/MEDIA -> sintesi Opus. Esito: 14 confermati (1 ALTA: usage.mjs non aggancia i workflow di Studio nel drilldown, ~20,5M token invisibili; 8 media tra cui doppia cartella italiana senza spiegazione e versioni drop-in incoerenti), 4 bassa non verificati, 0 confutati; 5 severita declassate dalla verifica. Report: observatory/AUDIT-REPO-2026-07-25.md, nessuna correzione applicata",24,1523020,"chat SideKick/Osservatorio_1 + transcript wf_d0a32840-966",
